epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
49,599,14077.083984375,,,
,200,,,,11989.7275390625
,201,,,,14280.2041015625
,202,,,,14649.146484375
,203,,,,13478.802734375
50,611,,,13621.81640625,
50,611,14077.080078125,,,
,204,,,,11989.72265625
,205,,,,14280.201171875
,206,,,,14649.1416015625
,207,,,,13478.7978515625
51,623,,,13621.8125,
51,623,14077.0791015625,,,
,208,,,,11989.71875
,209,,,,14280.197265625
,210,,,,14649.1396484375
,211,,,,13478.794921875
52,635,,,13621.8076171875,
52,635,14077.0732421875,,,
,212,,,,11989.712890625
,213,,,,14280.193359375
,214,,,,14649.1357421875
,215,,,,13478.7919921875
53,647,,,13621.8046875,
53,647,14077.068359375,,,
54,649,,16853.41015625,,
,216,,,,11989.712890625
,217,,,,14280.1923828125
,218,,,,14649.134765625
,219,,,,13478.7890625
54,659,,,13621.8037109375,
54,659,14077.0654296875,,,
,220,,,,11989.705078125
,221,,,,14280.18359375
,222,,,,14649.125
,223,,,,13478.7822265625
55,671,,,13621.794921875,
55,671,14077.0615234375,,,
,224,,,,11989.7001953125
,225,,,,14280.1787109375
,226,,,,14649.1201171875
,227,,,,13478.7763671875
56,683,,,13621.7890625,
56,683,14077.056640625,,,
,228,,,,11989.6982421875
,229,,,,14280.1767578125
,230,,,,14649.119140625
,231,,,,13478.7763671875
57,695,,,13621.787109375,
57,695,14077.0517578125,,,
58,699,,13328.29296875,,
,232,,,,11989.697265625
,233,,,,14280.17578125
,234,,,,14649.1171875
,235,,,,13478.7724609375
58,707,,,13621.787109375,
58,707,14077.048828125,,,
,236,,,,11989.69140625
,237,,,,14280.16796875
,238,,,,14649.111328125
,239,,,,13478.767578125
59,719,,,13621.7802734375,
59,719,14077.0458984375,,,
,240,,,,11989.6865234375
,241,,,,14280.1630859375
,242,,,,14649.1044921875
,243,,,,13478.763671875
60,731,,,13621.7744140625,
60,731,14077.0390625,,,
,244,,,,11989.6796875
,245,,,,14280.1572265625
,246,,,,14649.099609375
,247,,,,13478.755859375
61,743,,,13621.7685546875,
61,743,14077.037109375,,,
62,749,,15554.6845703125,,
,248,,,,11989.6806640625
,249,,,,14280.15625
,250,,,,14649.0947265625
,251,,,,13478.75390625
62,755,,,13621.7666015625,
62,755,14077.03125,,,
,252,,,,11989.6787109375
,253,,,,14280.1533203125
,254,,,,14649.091796875
,255,,,,13478.751953125
63,767,,,13621.763671875,
63,767,14077.02734375,,,
,256,,,,11989.67578125
,257,,,,14280.1513671875
,258,,,,14649.091796875
,259,,,,13478.75
64,779,,,13621.763671875,
64,779,14077.0234375,,,
,260,,,,11989.6708984375
,261,,,,14280.14453125
,262,,,,14649.083984375
,263,,,,13478.740234375
65,791,,,13621.755859375,
65,791,14077.021484375,,,
66,799,,14092.037109375,,
,264,,,,11989.66796875
,265,,,,14280.142578125
,266,,,,14649.08203125
,267,,,,13478.7392578125
66,803,,,13621.75390625,
66,803,14077.015625,,,
,268,,,,11989.6650390625
,269,,,,14280.1396484375
,270,,,,14649.078125
,271,,,,13478.736328125
67,815,,,13621.7509765625,
67,815,14077.01171875,,,
,272,,,,11989.66015625
,273,,,,14280.134765625
,274,,,,14649.07421875
,275,,,,13478.732421875
68,827,,,13621.7451171875,
68,827,14077.0078125,,,
,276,,,,11989.65234375
,277,,,,14280.1279296875
,278,,,,14649.06640625
,279,,,,13478.7236328125
69,839,,,13621.73828125,
69,839,14077.00390625,,,
70,849,,14205.337890625,,
,280,,,,11989.6513671875
,281,,,,14280.1259765625
,282,,,,14649.064453125
,283,,,,13478.72265625
70,851,,,13621.7373046875,
70,851,14077.0,,,
,284,,,,11989.646484375
,285,,,,14280.12109375
,286,,,,14649.060546875
,287,,,,13478.7158203125
71,863,,,13621.732421875,
71,863,14076.99609375,,,
,288,,,,11989.6494140625
,289,,,,14280.12109375
,290,,,,14649.060546875
,291,,,,13478.71875
72,875,,,13621.732421875,
72,875,14076.9931640625,,,
,292,,,,11989.640625
,293,,,,14280.1142578125
,294,,,,14649.052734375
,295,,,,13478.7099609375
73,887,,,13621.724609375,
73,887,14076.98828125,,,
74,899,,12652.44140625,,
,296,,,,11989.6357421875
,297,,,,14280.107421875
,298,,,,14649.044921875
,299,,,,13478.703125
74,899,,,13621.7197265625,
74,899,14076.984375,,,
,300,,,,11989.6328125
,301,,,,14280.103515625
,302,,,,14649.04296875
,303,,,,13478.6982421875
75,911,,,13621.716796875,
75,911,14076.978515625,,,
,304,,,,11989.6259765625
,305,,,,14280.099609375
,306,,,,14649.0390625
,307,,,,13478.6943359375
76,923,,,13621.7119140625,
76,923,14076.9765625,,,
,308,,,,11989.623046875
,309,,,,14280.095703125
,310,,,,14649.033203125
,311,,,,13478.689453125
77,935,,,13621.7060546875,
77,935,14076.97265625,,,
,312,,,,11989.623046875
,313,,,,14280.09375
,314,,,,14649.0322265625
,315,,,,13478.689453125
78,947,,,13621.7060546875,
78,947,14076.96875,,,
79,949,,15802.396484375,,
,316,,,,11989.619140625
,317,,,,14280.0908203125
,318,,,,14649.02734375
,319,,,,13478.6845703125
79,959,,,13621.7021484375,
79,959,14076.9658203125,,,
,320,,,,11989.61328125
,321,,,,14280.0859375
,322,,,,14649.0234375
,323,,,,13478.6787109375
80,971,,,13621.6962890625,
80,971,14076.958984375,,,
,324,,,,11989.611328125
,325,,,,14280.08203125
,326,,,,14649.01953125
,327,,,,13478.67578125
81,983,,,13621.693359375,
81,983,14076.955078125,,,
,328,,,,11989.609375
,329,,,,14280.0791015625
,330,,,,14649.015625
,331,,,,13478.671875
82,995,,,13621.689453125,
82,995,14076.9521484375,,,
83,999,,14930.880859375,,
,332,,,,11989.6064453125
,333,,,,14280.078125
,334,,,,14649.015625
,335,,,,13478.6689453125
83,1007,,,13621.6884765625,
83,1007,14076.9482421875,,,
,336,,,,11989.603515625
,337,,,,14280.076171875
,338,,,,14649.013671875
,339,,,,13478.66796875
84,1019,,,13621.6875,
84,1019,14076.9443359375,,,
,340,,,,11989.5966796875
,341,,,,14280.0673828125
,342,,,,14649.005859375
,343,,,,13478.6611328125
85,1031,,,13621.6806640625,
85,1031,14076.9404296875,,,
,344,,,,11989.59375
,345,,,,14280.060546875
,346,,,,14648.998046875
,347,,,,13478.654296875
86,1043,,,13621.673828125,
86,1043,14076.9365234375,,,
87,1049,,13847.642578125,,
,348,,,,11989.5888671875
,349,,,,14280.0576171875
,350,,,,14648.9951171875
,351,,,,13478.650390625
87,1055,,,13621.6689453125,
87,1055,14076.9306640625,,,
,352,,,,11989.5849609375
,353,,,,14280.052734375
,354,,,,14648.9892578125
,355,,,,13478.64453125
88,1067,,,13621.6640625,
88,1067,14076.9267578125,,,
,356,,,,11989.583984375
,357,,,,14280.05078125
,358,,,,14648.9873046875
,359,,,,13478.642578125
89,1079,,,13621.6630859375,
89,1079,14076.9228515625,,,
,360,,,,11989.578125
,361,,,,14280.044921875
,362,,,,14648.982421875
,363,,,,13478.6376953125
90,1091,,,13621.6572265625,
90,1091,14076.919921875,,,
91,1099,,13438.2255859375,,
,364,,,,11989.57421875
,365,,,,14280.0400390625
,366,,,,14648.9775390625
,367,,,,13478.6298828125
91,1103,,,13621.65234375,
91,1103,14076.9140625,,,
,368,,,,11989.572265625
,369,,,,14280.0390625
,370,,,,14648.974609375
,371,,,,13478.62890625
92,1115,,,13621.650390625,
92,1115,14076.912109375,,,
,372,,,,11989.5654296875
,373,,,,14280.0322265625
,374,,,,14648.96875
,375,,,,13478.623046875
93,1127,,,13621.64453125,
93,1127,14076.90625,,,
,376,,,,11989.5654296875
,377,,,,14280.0302734375
,378,,,,14648.966796875
,379,,,,13478.6220703125
94,1139,,,13621.6435546875,
94,1139,14076.904296875,,,
95,1149,,15059.67578125,,
,380,,,,11989.5634765625
,381,,,,14280.0283203125
,382,,,,14648.96484375
,383,,,,13478.6181640625
95,1151,,,13621.6396484375,
95,1151,14076.9013671875,,,
,384,,,,11989.5576171875
,385,,,,14280.0234375
,386,,,,14648.9599609375
,387,,,,13478.61328125
96,1163,,,13621.63671875,
96,1163,14076.892578125,,,
,388,,,,11989.55078125
,389,,,,14280.017578125
,390,,,,14648.953125
,391,,,,13478.6064453125
97,1175,,,13621.6298828125,
97,1175,14076.892578125,,,
,392,,,,11989.5478515625
,393,,,,14280.013671875
,394,,,,14648.9501953125
,395,,,,13478.603515625
98,1187,,,13621.6259765625,
98,1187,14076.8876953125,,,
99,1199,,15726.80859375,,
,396,,,,11989.544921875
,397,,,,14280.0078125
